security_id,seed_key,historical_ticker,pit_start,pit_end,pit_intervals,identity_status,market_data_status,vendor_symbol,price_start,price_end,coverage_days,expected_days,coverage_ratio,quality_status,reason,confidence,rebalance_encountered,local_listing_csv,notes
,,MMC,1996-01-02,2026-01-14,1996-01-02→2026-01-14,UNRESOLVED,missing,MMC,,,0,4018,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,MNK,2014-08-19,2017-07-26,2014-08-19→2017-07-26,UNRESOLVED,missing,MNK,,,0,937,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,MON,2002-08-14,2018-06-07,2002-08-14→2018-06-07,UNRESOLVED,missing,MON,,,0,1253,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,MRO,1996-01-02,2024-11-26,1996-01-02→2024-11-26,UNRESOLVED,missing,MRO,,,0,3617,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,MWV,1996-01-02,2015-07-02,1996-01-02→2015-07-02,UNRESOLVED,missing,MWV,,,0,182,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,MXIM,2018-12-03,2021-08-30,2018-12-03→2021-08-30,UNRESOLVED,missing,MXIM,,,0,1001,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,MYL,2004-04-23,2020-11-17,2004-04-23→2020-11-17,UNRESOLVED,missing,MYL,,,0,2147,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,NBL,2007-10-08,2020-10-12,2007-10-08→2020-10-12,UNRESOLVED,missing,NBL,,,0,2111,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,NFX,2010-12-20,2019-02-15,2010-12-20→2019-02-15,UNRESOLVED,missing,NFX,,,0,1506,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,NLOK,2019-11-05,2022-11-08,2019-11-05→2022-11-08,UNRESOLVED,missing,NLOK,,,0,1099,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,NLSN,2013-07-09,2022-10-12,2013-07-09→2022-10-12,UNRESOLVED,missing,NLSN,,,0,2841,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,PBCT,2008-11-13,2022-04-04,2008-11-13→2022-04-04,UNRESOLVED,missing,PBCT,,,0,2650,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,PCP,2007-06-01,2016-02-01,2007-06-01→2016-02-01,UNRESOLVED,missing,PCP,,,0,396,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,PDCO,2005-10-11,2018-03-19,2005-10-11→2018-03-19,UNRESOLVED,missing,PDCO,,,0,1173,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,PEAK,2019-11-05,2024-03-04,2019-11-05→2024-03-04,UNRESOLVED,missing,PEAK,,,0,1581,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,PETM,2012-10-05,2015-03-12,2012-10-05→2015-03-12,UNRESOLVED,missing,PETM,,,0,70,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,PKI,1996-01-02,2023-05-16,1996-01-02→2023-05-16,UNRESOLVED,missing,PKI,,,0,3057,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,PLL,1996-01-02,2015-08-31,1996-01-02→2015-08-31,UNRESOLVED,missing,PLL,,,0,242,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,PX,1996-01-02,2018-10-31,1996-01-02→2018-10-31,UNRESOLVED,missing,PX,,,0,1399,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,PXD,2008-09-24,2024-05-08,2008-09-24→2024-05-08,UNRESOLVED,missing,PXD,,,0,3415,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,QEP,2010-07-01,2015-07-01,2010-07-01→2015-07-01,UNRESOLVED,missing,QEP,,,0,181,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,RAI,2002-09-04,2017-07-25,2002-09-04→2017-07-25,UNRESOLVED,missing,RAI,,,0,936,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,everest-group,RE,2017-06-19,2023-07-10,2017-06-19→2023-07-10,RESOLVED,available_other_ticker,EG,2013-07-08,2025-12-31,2212,2212,1.0000,valid,G_data_under_other_ticker,high,true,false,Vendor series stored as EG.
,,RHT,2009-07-27,2019-07-15,2009-07-27→2019-07-15,UNRESOLVED,missing,RHT,,,0,1656,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,RTN,1996-01-02,2020-04-06,1996-01-02→2020-04-06,UNRESOLVED,missing,RTN,,,0,1922,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,SEE,1998-04-01,2023-12-18,1998-04-01→2023-12-18,UNRESOLVED,missing,SEE,,,0,3273,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,SIAL,1996-01-02,2015-11-18,1996-01-02→2015-11-18,UNRESOLVED,missing,SIAL,,,0,321,0.0000,not_applicable,D_unresolved_identity,low,false,false,No Security Master row and no local CSV under the PIT ticker.
,,SIVB,2018-03-19,2023-03-15,2018-03-19→2023-03-15,UNRESOLVED,missing,SIVB,,,0,1822,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,SNI,2008-07-01,2018-03-07,2008-07-01→2018-03-07,UNRESOLVED,missing,SNI,,,0,1161,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,SPLS,1998-10-07,2017-09-13,1998-10-07→2017-09-13,UNRESOLVED,missing,SPLS,,,0,986,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
,,SRCL,2008-11-19,2018-12-03,2008-11-19→2018-12-03,UNRESOLVED,missing,SRCL,,,0,1432,0.0000,not_applicable,D_unresolved_identity,low,true,false,No Security Master row and no local CSV under the PIT ticker.
